Timestamp,Voltage1,Voltage2,Current,CurrentCapacity,TotalCapacity,OCV,SoC,1-SoC,OCV_smoothed
198,7.06,5.0,0.02275,0.001251,0.001251,7.06,99.99953837638375,0.0004616236162435783,
738,7.08,5.0,0.02275,0.003412,0.004664,7.1721375,99.99827896678967,0.0017210332103334558,
5014,7.08,5.03,0.02286,0.003391,0.031767,7.172583,99.98827785977859,0.011722140221404054,
5549,7.03,5.0,0.02275,0.003381,0.035148,7.132375000000001,99.9870302583026,0.012969741697410608,
10899,7.03,5.05,0.0229699999999999,0.003407,0.069253,7.133365,99.97444538745387,0.02555461254613034,7.134092100000001
11435,7.03,5.03,0.02286,0.003404,0.072657,7.1328700000000005,99.97318929889299,0.02681070110700512,7.1486661
23745,7.03,4.98,0.02264,0.003358,0.150645,7.131880000000001,99.94441143911439,0.05558856088561104,7.140614600000001
35518,7.03,4.96,0.02253,0.003348,0.224729,7.131385,99.9170741697417,0.08292583025830691,7.132375000000001
145763,7.01,5.0,0.02275,0.003406,0.920709,7.01,99.66025498154983,0.3397450184501771,7.107900000000001
146299,6.98,4.98,0.02264,0.003371,0.924079,7.081880000000001,99.65901143911438,0.34098856088561336,7.097603000000001
152722,7.08,4.98,0.02264,0.003364,0.964685,7.171692,99.64402767527676,0.3559723247232416,7.1053674
160218,7.08,5.05,0.0229699999999999,0.003414,1.012302,7.1730285,99.62645682656827,0.37354317343172294,7.1135971
183233,7.08,4.93,0.02242,0.003325,1.15792,7.170801,99.57272324723247,0.42727675276752475,7.1214803
213744,7.08,4.96,0.02253,0.003348,1.350645,7.1712465000000005,99.50160701107012,0.4983929889298855,7.153729600000001
221239,7.08,5.08,0.02308,0.003424,1.398024,7.173474,99.48412398523985,0.5158760147601527,7.1720483999999995
233016,7.08,5.1,0.02319,0.003447,1.473569,7.1739195,99.45624760147601,0.5437523985239889,7.172493900000001
249602,7.08,5.13,0.0233,0.00347,1.579865,7.174365,99.41702398523987,0.5829760147601393,7.172761199999999
250676,7.03,5.1,0.02319,0.00344,1.586785,7.134355,99.41447047970479,0.5855295202952138,7.165471999999999
347029,7.03,5.13,0.0233,0.00345,2.208509,7.13485,99.18505202952029,0.8149479704797069,7.158192700000001
452763,7.03,5.08,0.02308,0.003482,2.889682,7.13386,98.93369667896678,1.066303321033213,7.1502699000000005
2426647,6.98,5.05,0.0229699999999999,0.003465,15.54407,7.083365000000001,94.26418081180812,5.735819188191882,7.132159
3242979,6.98,5.08,0.02308,0.003462,20.756794,7.0838600000000005,92.34066642066419,7.659333579335803,7.114058
3507085,6.98,5.03,0.02286,0.003423,22.441675,7.082870000000001,91.71893911439113,8.28106088560886,7.103761
4920006,6.98,5.0,0.02275,0.003438,31.442057,7.082375000000001,88.39776494464945,11.602235055350551,7.093266000000002
5270118,6.96,5.03,0.02286,0.003474,33.669418,6.96,87.57586051660516,12.424139483394836,7.0584940000000005
7579501,6.93,5.0,0.02275,0.003438,48.329693,6.93,82.16616494464944,17.833835055350555,7.027821
10415058,6.98,5.1,0.02319,0.003505,66.305099,7.084355,75.53317380073801,24.46682619926198,7.02792
10628749,6.98,5.13,0.0233,0.003522,67.683067,7.08485,75.02469852398525,24.975301476014756,7.028315999999999
10819298,6.91,5.1,0.02319,0.003511,68.911713,6.91,74.57132361623616,25.42867638376385,6.993841000000001
13310773,6.88,5.08,0.02308,0.003514,84.966042,6.98386,68.64721697416974,31.352783025830266,6.998613000000001
13552371,6.88,5.1,0.02319,0.003511,86.517471,6.984355,68.07473394833949,31.92526605166052,7.0094840000000005
14386365,6.88,5.05,0.0229699999999999,0.003478,91.868416,6.983365,66.10021549815498,33.89978450184502,6.989286
15587537,6.88,5.03,0.02286,0.003454,99.561676,6.98287,63.26137416974169,36.73862583025831,6.96889
16394909,6.86,5.05,0.0229699999999999,0.003471,104.71991,6.86,61.3579667896679,38.6420332103321,6.958889999999999
17465052,6.88,5.0,0.02275,0.003444,111.54222,6.982375,58.840509225092255,41.159490774907745,6.9585930000000005
17913102,6.88,5.13,0.0233,0.003547,114.3935,6.98485,57.788376383763826,42.211623616236174,6.958691999999999
17918865,6.88,4.98,0.02264,0.003421,114.43029,6.98188,57.77480073800737,42.22519926199263,6.958395
18549003,6.84,5.0,0.02275,0.003444,118.44371,6.84,56.293833948339476,43.706166051660524,6.929821
18831172,6.88,4.96,0.02253,0.00341,120.23923,6.981385,55.63128044280442,44.36871955719558,6.954098
19894062,6.88,4.93,0.02242,0.003394,126.98862,6.98089,53.140730627306276,46.859269372693724,6.953801
20027273,6.81,4.98,0.02264,0.003434,127.83272,6.81,52.82925461254613,47.17074538745387,6.918831
22075304,6.79,4.98,0.02264,0.00344,140.77876,6.79,48.05211808118081,51.947881918819185,6.8804549999999995
24377508,6.76,5.0,0.02275,0.003438,155.22946,6.76,42.71975645756458,57.280243542435414,6.8644549999999995
25897448,6.74,4.98,0.02264,0.003434,164.71115,6.74,39.22097785977859,60.77902214022141,6.816177999999999
27451447,6.71,4.83,0.02197,0.003326,174.36122,6.71,35.66006642066421,64.33993357933579,6.7620000000000005
29239724,6.69,4.91,0.02231,0.003383,185.39316,6.69,31.589239852398528,68.41076014760148,6.7379999999999995
30530485,6.67,4.79,0.02175,0.003323,193.31157,6.67,28.667317343173437,71.33268265682656,6.714
31675345,6.64,4.86,0.02208,0.003368,200.29729,6.64,26.089560885608854,73.91043911439115,6.69
33157807,6.62,4.81,0.02186,0.003346,209.29137,6.62,22.770712177121773,77.22928782287823,6.6659999999999995
34534237,6.59,4.81,0.02186,0.003346,217.59126,6.59,19.708022140221402,80.2919778597786,6.642
36005618,6.57,4.69,0.02131,0.003273,226.4182,6.57,16.450848708487083,83.54915129151293,6.618
36872929,6.54,4.71,0.02142,0.003284,231.59322,6.54,14.541247232472324,85.45875276752768,6.5920000000000005
37783617,6.52,4.69,0.02131,0.003267,236.99966,6.52,12.546250922509222,87.45374907749077,6.568
38430249,6.49,4.69,0.02131,0.003285,240.82329,6.49,11.135317343173437,88.86468265682656,6.542
38975788,6.47,4.64,0.0210799999999999,0.003233,244.03468,6.47,9.950302583025827,90.04969741697417,6.518000000000001
39539387,6.45,4.61,0.02097,0.003216,247.33115,6.45,8.733892988929886,91.26610701107012,6.494
39721601,6.42,4.61,0.02097,0.003263,248.39417,6.42,8.341634686346861,91.65836531365314,6.470000000000001
39923371,6.4,4.59,0.02086,0.003199,249.57541,6.4,7.905752767527674,92.09424723247233,6.446
40207500,6.37,4.57,0.02075,0.003193,251.23093,6.37,7.294859778597786,92.70514022140222,6.422
40401487,6.35,4.57,0.02075,0.003176,252.35382,6.35,6.880509225092246,93.11949077490776,6.398000000000001
40627151,6.32,4.52,0.02053,0.003137,253.65352,6.32,6.400915129151297,93.5990848708487,6.372
40794896,6.3,4.52,0.02053,0.003137,254.6144,6.3,6.046346863468639,93.95365313653136,6.348000000000001
40994952,6.27,4.49,0.02042,0.003125,255.75526,6.27,5.625365313653139,94.37463468634687,6.322
41213473,6.25,4.44,0.0202,0.003091,256.99219,6.25,5.168933579335796,94.8310664206642,6.298
41301203,6.23,4.44,0.0202,0.003086,257.48657,6.23,4.986505535055361,95.01349446494464,6.273999999999999
41487550,6.2,4.39,0.01998,0.003057,258.53094,6.2,4.601129151291518,95.39887084870848,6.25
41669664,6.18,4.37,0.01986,0.00304,259.54608,6.18,4.2265387453874474,95.77346125461256,6.226000000000001
41837420,6.15,4.35,0.01975,0.003007,260.47537,6.15,3.883627306273064,96.11637269372693,6.202
41910816,6.13,4.32,0.01964,0.003023,260.88049,6.13,3.7341365313653103,96.26586346863469,6.178
42057125,6.1,4.3,0.01953,0.002989,261.6839,6.1,3.4376752767527696,96.56232472324723,6.152
42203949,6.08,4.3,0.01953,0.002984,262.48569,6.08,3.14181180811809,96.85818819188191,6.128
42336384,6.05,4.27,0.01942,0.003037,263.2037,6.05,2.8768634686346766,97.12313653136533,6.101999999999999
42403720,6.03,4.25,0.0193099999999999,0.002971,263.56696,6.03,2.7428191881918838,97.25718081180813,6.078
42588030,6.01,4.2,0.01909,0.002937,264.556,6.01,2.377859778597792,97.6221402214022,6.053999999999999
42681606,5.98,4.2,0.01909,0.002921,265.05417,5.98,2.1940332103321034,97.80596678966789,6.029999999999999
42777640,5.96,4.17,0.01898,0.002899,265.56351,5.96,2.0060848708487056,97.9939151291513,6.006
42904030,5.93,4.13,0.01875,0.002876,266.22916,5.93,1.7604575645756535,98.23954243542434,5.982
42978533,5.91,4.1,0.01864,0.002853,266.61978,5.91,1.616317343173435,98.38368265682656,5.958
43075673,5.88,4.1,0.01864,0.002848,267.12601,5.88,1.4295166051660486,98.57048339483396,5.932
43156264,5.86,4.05,0.01842,0.002814,267.54364,5.86,1.2754095940959476,98.72459040590405,5.9079999999999995
43216435,5.83,4.05,0.01842,0.002814,267.85336,5.83,1.1611217712177089,98.83887822878229,5.882
43332087,5.81,4.0,0.0182,0.002816,268.44458,5.81,0.9429594095941056,99.0570405904059,5.858
43413771,5.79,3.98,0.01809,0.002774,268.85938,5.79,0.7898966789667943,99.2101033210332,5.8340000000000005
43486629,5.76,3.98,0.01809,0.002774,269.22687,5.76,0.654291512915122,99.34570848708488,5.81
43510363,5.74,3.96,0.01798,0.002762,269.34604,5.74,0.6103173431734257,99.38968265682658,5.786
43595380,5.71,3.93,0.01787,0.002749,269.77081,5.71,0.4535756457564638,99.54642435424354,5.7620000000000005
43651686,5.69,3.91,0.01776,0.002732,270.05042,5.69,0.3503985239852494,99.64960147601475,5.7379999999999995
43735577,5.66,3.88,0.01764,0.002706,270.46338,5.66,0.19801476014761166,99.80198523985239,5.712
43762630,5.64,3.86,0.01753,0.002713,270.59558,5.64,0.14923247232472914,99.85076752767526,5.688000000000001
43815065,5.62,3.83,0.01742,0.002667,270.85083,5.62,0.05504428044281419,99.94495571955719,5.664
43892097,5.59,3.81,0.01731,0.002669,271.22287,5.59,0.08223985239852412,100.08223985239853,5.64
43929645,0.51,0.0,0.0,0.0,271.4003,0.51,0.14771217712177698,100.14771217712178,4.604
43930195,0.17,0.0,0.0,0.0,271.4003,0.17,0.14771217712177698,100.14771217712178,3.5060000000000002
43930746,0.05,0.0,0.0,0.0,271.4003,0.05,0.14771217712177698,100.14771217712178,2.388
43931296,0.0,0.0,0.0,0.0,271.4003,0.0,0.14771217712177698,100.14771217712178,1.264
